"filename", "language", "Markdown", "JSON", "comment", "blank", "total"
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\details.md", "Markdown", 1478, 0, 0, 6, 1484
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\diff-details.md", "Markdown", 9, 0, 0, 6, 15
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\diff.md", "Markdown", 12, 0, 0, 7, 19
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\results.json", "JSON", 0, 1, 0, 0, 1
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\results.md", "Markdown", 40, 0, 0, 7, 47
"Total", "-", 1539, 1, 0, 26, 1566
