"filename", "language", "C#", "JSON", "XML", "Properties", "Ini", "Markdown", "comment", "blank", "total"
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\bin\Debug\net8.0\MirageMUD_Server.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 23
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\bin\Debug\net8.0\MirageMUD_Server.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 12
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\obj\Debug\net8.0\MirageMUD_Server.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 0, 10, 5, 24
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\obj\Debug\net8.0\MirageMUD_Server.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\obj\Debug\net8.0\MirageMUD_Server.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\obj\Debug\net8.0\MirageMUD_Server.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\obj\MirageMUD_Server.csproj.nuget.dgspec.json", "JSON", 0, 75, 0, 0, 0, 0, 0, 0, 75
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\obj\MirageMUD_Server.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\obj\MirageMUD_Server.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\obj\project.assets.json", "JSON", 0, 81, 0, 0, 0, 0, 0, 0, 81
"Total", "-", 958, 1247, 30, 15, 23, 111, 162, 223, 2769
